1,"Onderzoek voor alle situaties hoe anderen jou zien en ervaren. Werk altijd aan een consistent imago, zowel online als offline. Bepaal voor elke situatie hoe jij jezelf het beste presenteert.",Eigen merk,5,3
2,Denk nog meer na over andere functies voor wanneer je een andere baan wilt.,Eigen waarde,4,2.33
3,Leer hoe je netwerk in meer gevallen breder dan alleen voor je werk kunt inzetten. Onderzoek meer hoe je iets kunt betekenen voor anderen.,Netwerk,1,1.5
4,Niet van toepassing.,Kennis en vaardigheden,16,4
5,"Wees je in alle gevallen bewust van wat je zelf ziet, doet en ervaart. Dit geeft positieve energie. Onderzoek altijd de kracht van bestaande ideeën en bouw daarop voort.",Creativiteit,13,3.17
6,Doe in alle gevallen iets nieuws en bereik hiermee resultaat. Experimenteer altijd en doe zo nieuwe ervaringen op.,Innovativiteit,14,3.17
7,Kijk altijd wat je kunt doen om je makkelijk aan te passen in nieuwe situaties. Onderzoek in alle gevallen wat jij belangrijk vindt in je leven. Probeer altijd veranderingen in je werk te zien als kansen.,Wendbaarheid,6,3
8,"Probeer je leven altijd in te richten zoals jij dat wilt. Werk continu aan dingen die je kunt beïnvloeden. Als je iets moet doen, doe het dan altijd liever vandaag dan morgen.",Actiegerichtheid,7,3
9,Leer om altijd bewuste keuzes te maken in je leven. Zorg dat je in alle gevallen weet wat je wilt.,Zelfkennis,15,3.17
10,Onderzoek voor alle situaties wanneer anderen jou op je best zien. Vind voor alle gevallen uit waar je goed in bent. Zoek altijd situaties en mensen op waar je energie van krijgt.,Positieve eigenschappen,8,3
11,Neem privé in alle situaties de tijd om te doen wat jij belangrijk vindt. Bespreek in privé situaties in alle gevallen wat jij zou willen doen. Onderzoek altijd hoe je werk en privé beter kunt combineren.,Werk/privé balans,9,3
12,Probeer altijd meer vrijheid te krijgen om te bepalen hoe je je werk doet. Onderzoek wat ervoor nodig is om onder alle omstandigheden keuzes in je leven te durven maken. Bespreek op je werk hoe je in alle situaties het beste uit jezelf kunt halen.,Regie in eigen hand,10,3
13,Probeer je privé uitgaven altijd onder controle te krijgen. Zorg dat je onder alle omstandigheden weet waar je je geld aan uitgeeft. Onderzoek voor alle situaties de hoogte van je vaste lasten.,Zaken op orde,11,3
14,Grijp vaker in op je financiën wanneer dat nodig is.,Financiële daadkracht,2,1.67
15,Kijk nog vaker hoe je aan meerdere bronnen van inkomsten kunt komen. Onderzoek hoe je nog beter pensioen en/of vermogen op kunt bouwen.,Financiële toekomst,3,2.17
16,Probeer op financieel gebied altijd nieuwe dingen te leren. Vraag zo nodig direct om hulp wanneer je iets niet weet over je privé financiën. Leer onder alle omstandigheden verstandige financiële keuzes te maken.,Financiële kennis,12,3
